name,position,prediction_season,predicted_goals_per_match,actual_goals_per_match
Benjamin  Herth ,Middle Back,2014/2015,3.209449125698044,2.2903225806451615
Benjamin  Herth ,Middle Back,2015/2016,2.1928631133085497,0.6551724137931034
Benjamin  Herth ,Middle Back,2016/2017,1.346046620700902,2.5833333333333335
Benjamin  Herth ,Middle Back,2017/2018,2.672890426351007,2.810810810810811
Dennis  Wilke ,Right Wing,2012/2013,3.3506842043166074,5.34375
Dennis  Wilke ,Right Wing,2013/2014,4.194784827955997,3.65625
Dennis  Wilke ,Right Wing,2014/2015,3.5419203122706095,2.6666666666666665
Dennis  Wilke ,Right Wing,2015/2016,2.716649718622526,2.28
Frank  Ettwein ,Left Wing,2012/2013,1.8477514720162307,1.4838709677419355
Frank  Ettwein ,Left Wing,2013/2014,1.8477514720162307,0.9642857142857143
Vlatko  Mitkov ,Right Wing,2014/2015,3.7543581857401613,4.821428571428571
Vlatko  Mitkov ,Right Wing,2015/2016,4.1607189374752185,5.258064516129032
Vlatko  Mitkov ,Right Wing,2016/2017,4.347094357458657,5.413793103448276
Vlatko  Mitkov ,Right Wing,2017/2018,4.427682210672518,3.5652173913043477
Wolfgang  Strobel ,Line Player,2012/2013,1.8564232110397931,1.6666666666666667
Wolfgang  Strobel ,Line Player,2013/2014,1.8564232110397931,1.935483870967742
Wolfgang  Strobel ,Line Player,2014/2015,1.935989590364843,1.0
Sascha  Ilitsch ,Left Back,2012/2013,1.8564232110397931,1.1111111111111112
Sascha  Ilitsch ,Left Back,2013/2014,1.749033832810855,2.4545454545454546
Sascha  Ilitsch ,Left Back,2014/2015,2.2112248857510375,1.0
Sascha  Ilitsch ,Left Back,2015/2016,1.5403039537160876,0.6666666666666666
Sascha  Ilitsch ,Left Back,2016/2017,1.523627618385974,2.0416666666666665
Sascha  Ilitsch ,Left Back,2017/2018,1.8781458668237623,0.0
Maximilian Holst,Left Wing,2012/2013,3.310166623731905,4.870967741935484
Maximilian Holst,Left Wing,2013/2014,4.168842615276542,2.3783783783783785
Maximilian Holst,Left Wing,2014/2015,2.8055151002182894,3.0
Maximilian Holst,Left Wing,2015/2016,2.672890426351007,6.181818181818182
Bobby  Schagen ,Right Wing,2014/2015,5.344872592048187,6.7894736842105265
Bobby  Schagen ,Right Wing,2015/2016,5.908860336505706,2.7058823529411766
Bobby  Schagen ,Right Wing,2016/2017,3.3340748516999987,4.0
Bobby  Schagen ,Right Wing,2017/2018,3.395842673321998,4.205882352941177
Daniel  Wernig ,Right Back,2014/2015,4.5226593276053375,4.125
Nils  Meyer ,Left Back,2014/2015,2.672890426351007,2.037037037037037
Nils  Meyer ,Left Back,2015/2016,2.0400941777347534,1.368421052631579
Nils  Meyer ,Left Back,2016/2017,1.87981046134367,0.9090909090909091
Kentin  Mahé ,Middle Back,2012/2013,4.136430225694413,4.913043478260869
Kentin  Mahé ,Middle Back,2013/2014,4.094072211190433,1.7272727272727273
Kentin  Mahé ,Middle Back,2014/2015,2.450907051699059,4.735294117647059
Kentin  Mahé ,Middle Back,2015/2016,3.9067312309616304,2.2222222222222223
Kentin  Mahé ,Middle Back,2016/2017,2.454427488351329,3.25
Kentin  Mahé ,Middle Back,2017/2018,2.8782225769944203,1.8823529411764706
Kristian  Nippes ,Right Back,2012/2013,1.960527798409704,2.764705882352941
Kristian  Nippes ,Right Back,2013/2014,2.672890426351007,3.1481481481481484
Kristian  Nippes ,Right Back,2014/2015,2.840188025578594,3.7777777777777777
Kristian  Nippes ,Right Back,2015/2016,3.216813661421271,2.789473684210526
Kristian  Nippes ,Right Back,2016/2017,2.716649718622526,1.7777777777777777
Kristian  Nippes ,Right Back,2017/2018,1.960527798409704,1.1666666666666667
Stefan  Schröder ,Right Wing,2012/2013,1.8477514720162307,1.4838709677419355
Stefan  Schröder ,Right Wing,2013/2014,1.8477514720162307,2.85
Stefan  Schröder ,Right Wing,2014/2015,2.672890426351007,1.9
Stefan  Schröder ,Right Wing,2015/2016,1.9994024653621891,1.3076923076923077
Domagoj  Duvnjak ,Middle Back,2012/2013,2.921981869265939,5.0
Domagoj  Duvnjak ,Middle Back,2013/2014,4.111285241596066,5.03030303030303
